Date,Open,High,Low,Close,Volume,Name
2016-11-08,257.58,263.32,255.37,262.26,1716772,CHTR
2016-11-09,259.13,277.98,259.0,269.83,4369703,CHTR
2016-11-10,271.2,281.36,266.58,270.87,5210954,CHTR
2016-11-11,269.07,273.79,265.32,272.44,2111928,CHTR
2016-11-14,272.29,273.99,263.06,263.14,2474958,CHTR
2016-11-15,263.21,267.86,259.95,260.2,2688198,CHTR
2016-11-16,260.0,262.64,258.63,261.99,2344420,CHTR
2016-11-17,262.2,266.57,261.2,265.48,1335216,CHTR
2016-11-18,264.19,266.0,260.0,262.7,1796842,CHTR
2016-11-21,263.82,265.71,260.17,264.1,1581799,CHTR
2016-11-22,264.94,273.26,264.26,273.02,2800375,CHTR
2016-11-23,272.34,273.95,270.65,272.31,1358511,CHTR
2016-11-25,273.0,275.93,272.06,275.5,626949,CHTR
2016-11-28,275.71,275.82,270.28,270.82,1706953,CHTR
2016-11-29,272.14,281.43,271.14,280.49,2657337,CHTR
2016-11-30,280.49,281.08,272.02,275.31,2486277,CHTR
2016-12-01,273.55,276.0,269.95,272.55,1401249,CHTR
2016-12-02,273.04,274.11,265.78,266.67,1751489,CHTR
2016-12-05,268.36,273.96,267.01,270.93,1765022,CHTR
2016-12-06,272.17,277.09,271.32,276.32,1233270,CHTR
2016-12-07,276.44,287.27,275.11,284.25,2007704,CHTR
2016-12-08,285.4,285.4,278.61,279.0,1757656,CHTR
2016-12-09,279.74,280.49,276.51,278.81,1317208,CHTR
2016-12-12,281.04,281.95,275.98,277.92,1490787,CHTR
2016-12-13,279.59,285.1,275.34,283.86,1485439,CHTR
2016-12-14,283.9,293.42,281.99,288.26,2460112,CHTR
2016-12-15,288.16,293.74,287.99,291.16,1843315,CHTR
2016-12-16,292.62,294.66,287.65,288.44,2331965,CHTR
2016-12-19,288.96,292.0,287.09,288.91,929906,CHTR
2016-12-20,288.46,291.61,288.09,290.38,880081,CHTR
2016-12-21,290.63,292.84,288.01,291.24,813057,CHTR
2016-12-22,291.03,291.79,287.47,291.02,770329,CHTR
2016-12-23,290.73,292.97,288.94,290.43,627474,CHTR
2016-12-27,291.55,293.29,290.0,291.8,837165,CHTR
2016-12-28,293.01,293.73,290.43,291.12,882580,CHTR
2016-12-29,291.02,294.87,290.11,292.19,1030956,CHTR
2016-12-30,292.16,292.99,285.05,287.92,1327768,CHTR
2017-01-03,290.24,291.44,282.54,285.77,1697792,CHTR
2017-01-04,286.98,292.08,284.23,291.55,1632480,CHTR
2017-01-05,289.75,297.13,289.73,296.17,1711872,CHTR
2017-01-06,296.12,298.79,294.46,298.16,1101253,CHTR
2017-01-09,297.2,297.94,294.71,296.26,1719599,CHTR
2017-01-10,296.66,300.15,293.46,298.2,1510062,CHTR
2017-01-11,297.45,300.04,296.1,299.54,1237962,CHTR
2017-01-12,298.05,298.24,294.56,297.19,1415481,CHTR
2017-01-13,297.31,300.07,296.89,298.43,1023551,CHTR
2017-01-17,294.02,306.37,292.84,306.14,3908041,CHTR
2017-01-18,306.15,307.32,302.09,303.69,1220621,CHTR
2017-01-19,302.93,307.76,301.28,306.13,1140409,CHTR
2017-01-20,307.64,309.18,306.16,308.44,1327003,CHTR
2017-01-23,307.2,309.85,306.17,308.7,1763048,CHTR
2017-01-24,309.74,310.21,307.01,308.35,1058864,CHTR
2017-01-25,309.15,311.2,307.16,310.31,1120498,CHTR
2017-01-26,333.37,341.5,324.81,333.15,12359709,CHTR
2017-01-27,332.92,334.12,316.96,323.55,2748909,CHTR
2017-01-30,323.48,325.26,316.99,324.8,2104052,CHTR
2017-01-31,322.65,325.27,321.03,323.95,1005911,CHTR
2017-02-01,323.85,327.01,321.94,326.85,944235,CHTR
2017-02-02,325.64,326.84,324.19,324.41,842630,CHTR
2017-02-03,325.43,329.1,324.12,328.71,1105797,CHTR
2017-02-06,327.83,328.28,319.18,322.6,2395678,CHTR
2017-02-07,322.98,325.39,321.33,323.37,1892097,CHTR
2017-02-08,323.55,327.5,323.2,325.73,982675,CHTR
2017-02-09,325.84,326.46,321.24,325.07,1224596,CHTR
2017-02-10,325.07,325.98,321.61,324.56,1035139,CHTR
2017-02-13,325.0,325.12,319.4,323.02,1708519,CHTR
2017-02-14,321.91,323.78,320.26,322.0,1091534,CHTR
2017-02-15,321.85,326.18,320.02,325.18,1380220,CHTR
2017-02-16,320.0,327.33,317.02,324.46,2050804,CHTR
2017-02-17,323.87,327.1,319.72,326.55,1532231,CHTR
2017-02-21,324.3,326.97,321.51,325.15,1283794,CHTR
2017-02-22,323.3,326.12,322.46,325.14,1475398,CHTR
2017-02-23,326.09,326.1,321.17,324.43,1530162,CHTR
2017-02-24,324.38,327.31,322.72,326.75,1160153,CHTR
2017-02-27,326.92,328.7,324.91,326.73,918701,CHTR
2017-02-28,326.03,326.78,320.25,323.06,1292888,CHTR
2017-03-01,325.76,328.1,321.66,325.17,1492977,CHTR
2017-03-02,324.68,324.68,321.83,323.95,897024,CHTR
2017-03-03,323.57,323.57,320.51,322.32,1130975,CHTR
2017-03-06,321.26,324.54,319.45,323.77,765471,CHTR
2017-03-07,323.91,327.04,322.36,323.24,1093502,CHTR
2017-03-08,323.17,325.08,321.68,322.6,1030004,CHTR
2017-03-09,322.87,326.1,321.43,323.14,921449,CHTR
2017-03-10,325.57,325.81,322.74,323.48,729054,CHTR
2017-03-13,323.19,325.56,323.0,324.34,732495,CHTR
2017-03-14,323.69,326.16,323.63,324.64,551632,CHTR
2017-03-15,324.84,326.89,323.82,325.38,1124998,CHTR
2017-03-16,324.69,326.82,323.34,323.72,724981,CHTR
2017-03-17,324.95,326.27,322.48,325.81,1450970,CHTR
2017-03-20,326.06,326.31,322.43,324.99,752794,CHTR
2017-03-21,325.23,326.27,319.98,320.66,801099,CHTR
2017-03-22,321.44,322.26,318.93,321.2,803912,CHTR
2017-03-23,320.5,326.75,319.5,323.62,1001453,CHTR
2017-03-24,324.94,327.74,323.64,325.35,1442045,CHTR
2017-03-27,323.74,325.76,319.61,323.14,1168924,CHTR
2017-03-28,322.05,325.73,320.6,324.08,1190400,CHTR
2017-03-29,323.9,327.12,323.28,325.94,810841,CHTR
2017-03-30,325.13,328.55,322.58,328.12,850636,CHTR
2017-03-31,326.73,330.91,326.03,327.32,1050238,CHTR
2017-04-03,327.5,330.81,325.02,328.27,1121558,CHTR
2017-04-04,328.4,334.0,326.96,331.52,1618863,CHTR
2017-04-05,332.21,338.75,329.55,331.99,1535056,CHTR
2017-04-06,331.75,336.96,330.55,336.8,1638123,CHTR
2017-04-07,337.67,338.51,330.55,330.65,1494521,CHTR
2017-04-10,330.45,333.15,329.56,331.37,965591,CHTR
2017-04-11,330.42,332.66,328.0,332.3,877273,CHTR
2017-04-12,331.01,335.69,330.54,334.57,1061588,CHTR
2017-04-13,335.28,335.7,329.65,330.0,705184,CHTR
2017-04-17,331.73,332.71,329.08,330.36,730304,CHTR
2017-04-18,329.62,331.0,325.95,328.18,1392556,CHTR
2017-04-19,330.01,335.96,328.31,333.61,1011041,CHTR
2017-04-20,335.28,337.05,333.18,335.59,887984,CHTR
2017-04-21,336.44,339.64,335.74,338.48,1092173,CHTR
2017-04-24,340.03,342.14,338.74,340.36,1138235,CHTR
2017-04-25,341.98,345.3,340.89,344.5,1405590,CHTR
2017-04-26,345.51,350.38,344.85,345.4,1495368,CHTR
2017-04-27,346.1,350.35,346.1,348.8,865528,CHTR
2017-04-28,349.83,349.99,342.78,345.16,1251677,CHTR
2017-05-01,346.29,347.25,341.87,344.14,1528264,CHTR
2017-05-02,338.89,340.13,333.2,337.69,2490997,CHTR
2017-05-03,335.4,337.48,321.44,324.49,4124340,CHTR
2017-05-04,324.89,327.4,322.25,322.6,1782282,CHTR
2017-05-05,324.61,334.87,324.51,334.78,1988962,CHTR
2017-05-08,329.52,331.0,321.72,323.81,3222049,CHTR
2017-05-09,323.3,327.83,320.12,325.52,1476522,CHTR
2017-05-10,324.53,327.18,323.09,325.58,940339,CHTR
2017-05-11,325.28,327.12,323.2,324.61,1071121,CHTR
2017-05-12,324.8,326.6,321.8,322.0,1523690,CHTR
2017-05-15,322.24,324.3,320.63,321.07,1944126,CHTR
2017-05-16,322.36,324.05,319.21,320.01,1459293,CHTR
2017-05-17,319.14,320.36,312.49,313.11,2390074,CHTR
2017-05-18,314.16,317.87,312.56,315.88,1797353,CHTR
2017-05-19,315.01,318.4,313.92,315.78,1920804,CHTR
2017-05-22,315.78,318.51,315.52,316.42,1841655,CHTR
2017-05-23,317.34,320.48,314.5,318.79,1444073,CHTR
2017-05-24,320.2,332.28,318.3,329.04,1900052,CHTR
2017-05-25,329.59,336.28,329.0,333.76,2180025,CHTR
2017-05-26,334.38,338.91,333.01,337.44,926728,CHTR
2017-05-30,336.49,340.0,334.85,338.92,1062379,CHTR
2017-05-31,340.0,345.85,338.73,345.55,2012018,CHTR
2017-06-01,346.5,354.05,339.46,346.39,2390020,CHTR
2017-06-02,348.11,353.37,347.5,353.03,1586335,CHTR
2017-06-05,355.0,355.0,343.72,344.43,1478954,CHTR
2017-06-06,344.46,345.52,341.71,342.83,1042019,CHTR
2017-06-07,343.66,347.01,341.64,345.88,966002,CHTR
2017-06-08,344.9,345.24,333.38,337.45,1990826,CHTR
2017-06-09,338.51,340.12,329.97,332.84,1442806,CHTR
2017-06-12,330.9,339.24,329.04,338.65,1395664,CHTR
2017-06-13,335.99,344.22,335.99,341.81,1106276,CHTR
2017-06-14,342.83,344.17,336.13,338.33,1276585,CHTR
2017-06-15,336.81,340.57,333.5,338.34,1318677,CHTR
2017-06-16,335.94,340.99,331.08,340.22,2406080,CHTR
2017-06-19,342.0,345.19,339.97,340.26,1883721,CHTR
2017-06-20,337.95,339.93,329.43,333.61,2161121,CHTR
2017-06-21,333.85,335.5,332.25,333.88,1045865,CHTR
2017-06-22,333.93,340.24,333.54,334.13,1116002,CHTR
2017-06-23,334.79,335.43,326.4,330.8,3100580,CHTR
2017-06-26,331.68,333.64,330.17,332.65,941893,CHTR
2017-06-27,330.75,332.29,327.14,329.87,1448187,CHTR
2017-06-28,330.56,340.95,329.24,340.3,1513322,CHTR
2017-06-29,339.38,340.18,332.13,335.74,2025164,CHTR
2017-06-30,338.29,338.41,332.4,336.85,1394645,CHTR
2017-07-03,338.26,339.45,328.65,328.67,793720,CHTR
2017-07-05,329.23,335.24,328.8,335.11,1341912,CHTR
2017-07-06,334.01,335.52,331.06,332.18,1251939,CHTR
2017-07-07,332.08,334.43,330.58,332.43,870484,CHTR
2017-07-10,333.13,338.4,332.1,336.6,1015974,CHTR
2017-07-11,337.12,339.85,334.44,337.85,953620,CHTR
2017-07-12,340.79,344.83,339.04,342.65,1071590,CHTR
2017-07-13,343.07,343.23,338.0,339.04,930153,CHTR
2017-07-14,340.8,344.51,335.79,342.8,1085969,CHTR
2017-07-17,342.09,345.28,341.95,342.31,967082,CHTR
2017-07-18,340.98,345.42,338.4,344.63,895173,CHTR
2017-07-19,345.02,347.26,342.97,346.61,1256276,CHTR
2017-07-20,346.47,349.67,344.32,345.3,1244759,CHTR
2017-07-21,345.3,351.87,345.3,350.07,1340981,CHTR
2017-07-24,349.79,350.43,345.25,348.08,1473727,CHTR
2017-07-25,349.47,350.88,346.58,348.0,881657,CHTR
2017-07-26,348.8,351.68,346.03,348.77,2265786,CHTR
2017-07-27,354.0,370.96,353.02,366.9,3552388,CHTR
2017-07-28,365.39,372.37,361.0,370.26,1600282,CHTR
2017-07-31,399.42,399.95,385.36,391.91,6272653,CHTR
2017-08-01,392.84,392.96,383.73,387.42,2274005,CHTR
2017-08-02,386.39,388.25,381.7,385.54,1370412,CHTR
2017-08-03,384.54,387.41,383.29,384.3,1006645,CHTR
2017-08-04,385.0,386.0,380.56,384.63,698514,CHTR
2017-08-07,384.65,386.45,380.77,381.02,1309008,CHTR
2017-08-08,380.02,393.24,378.26,389.75,1913093,CHTR
2017-08-09,387.89,408.83,386.38,400.9,3978134,CHTR
2017-08-10,398.69,404.06,396.72,398.68,2069989,CHTR
2017-08-11,400.08,402.45,392.6,394.49,2399848,CHTR
