Date,Open,High,Low,Close,Volume,Name
2012-12-13,47.74,47.9,47.4,47.52,393782,IDXX
2012-12-14,47.19,48.38,47.02,47.84,473088,IDXX
2012-12-17,47.8,48.22,47.78,47.96,512252,IDXX
2012-12-18,47.88,48.16,47.81,48.02,405856,IDXX
2012-12-19,48.24,48.46,47.78,47.8,496332,IDXX
2012-12-20,47.66,48.19,47.66,48.12,330574,IDXX
2012-12-21,47.33,48.57,47.33,47.62,1578482,IDXX
2012-12-24,47.81,48.36,47.2,47.63,263930,IDXX
2012-12-26,47.82,47.83,46.28,46.28,642348,IDXX
2012-12-27,46.35,46.63,45.96,46.46,496106,IDXX
2012-12-28,46.16,46.48,45.8,45.86,314790,IDXX
2012-12-31,45.75,46.5,45.54,46.4,572404,IDXX
2013-01-02,47.3,47.4,46.7,47.02,446910,IDXX
2013-01-03,46.84,47.38,46.69,47.0,491954,IDXX
2013-01-04,47.16,47.96,46.94,47.44,519278,IDXX
2013-01-07,47.32,47.94,47.26,47.72,394098,IDXX
2013-01-08,47.8,48.29,47.56,48.0,524922,IDXX
2013-01-09,48.25,48.94,48.07,48.57,511626,IDXX
2013-01-10,48.84,49.01,48.45,48.63,301846,IDXX
2013-01-11,48.71,48.96,48.36,48.55,255848,IDXX
2013-01-14,48.58,48.7,47.97,47.98,349532,IDXX
2013-01-15,47.88,48.33,47.46,47.48,554014,IDXX
2013-01-16,47.38,47.94,46.72,47.2,721636,IDXX
2013-01-17,47.36,47.65,47.12,47.16,427290,IDXX
2013-01-18,47.12,47.34,46.6,46.62,735210,IDXX
2013-01-22,46.72,47.78,46.72,47.74,1146978,IDXX
2013-01-23,47.62,47.67,47.41,47.62,1343988,IDXX
2013-01-24,47.62,48.32,47.52,48.32,2059366,IDXX
2013-01-25,48.42,49.88,48.32,49.73,1505736,IDXX
2013-01-28,49.4,50.4,49.4,49.82,1128470,IDXX
2013-01-29,46.74,49.07,46.74,48.71,1681964,IDXX
2013-01-30,48.7,49.14,47.97,48.08,784922,IDXX
2013-01-31,47.76,48.06,47.41,47.6,806864,IDXX
2013-02-01,47.82,48.12,47.1,47.23,1259404,IDXX
2013-02-04,47.04,47.23,46.6,46.81,720198,IDXX
2013-02-05,46.98,47.08,46.81,46.9,726160,IDXX
2013-02-06,46.84,47.0,46.64,46.95,611018,IDXX
2013-02-07,47.0,47.0,46.68,46.95,372016,IDXX
2013-02-08,46.95,47.07,46.74,46.78,491404,IDXX
2013-02-11,46.9,46.98,46.52,46.78,318806,IDXX
2013-02-12,46.94,47.02,46.35,46.46,658514,IDXX
2013-02-13,46.6,46.6,45.8,46.04,1646794,IDXX
2013-02-14,46.03,46.26,45.75,45.84,477536,IDXX
2013-02-15,45.8,45.82,45.38,45.6,666062,IDXX
2013-02-19,45.61,46.13,45.51,45.98,622058,IDXX
2013-02-20,45.86,46.34,45.85,46.04,809694,IDXX
2013-02-21,45.86,45.93,45.54,45.6,526028,IDXX
2013-02-22,45.84,46.18,45.64,46.1,442658,IDXX
2013-02-25,46.2,46.45,46.0,46.1,1186898,IDXX
2013-02-26,46.14,46.49,45.6,45.65,844020,IDXX
2013-02-27,45.66,46.7,45.61,46.28,640664,IDXX
2013-02-28,46.38,46.62,45.98,46.06,764458,IDXX
2013-03-01,45.92,46.03,45.39,45.62,1301452,IDXX
2013-03-04,45.52,45.66,45.1,45.58,661894,IDXX
2013-03-05,45.85,46.68,45.75,46.62,609794,IDXX
2013-03-06,46.78,47.14,45.97,46.06,656834,IDXX
2013-03-07,46.0,46.19,45.28,45.51,491216,IDXX
2013-03-08,45.53,46.02,45.12,45.73,1221570,IDXX
2013-03-11,45.76,46.31,45.69,45.92,338854,IDXX
2013-03-12,45.79,45.9,45.5,45.76,348624,IDXX
2013-03-13,45.78,46.0,45.51,45.83,373650,IDXX
2013-03-14,45.82,46.58,45.82,46.36,902412,IDXX
2013-03-15,46.29,46.42,46.01,46.22,927446,IDXX
2013-03-18,45.72,46.18,45.52,45.6,380888,IDXX
2013-03-19,45.71,46.07,45.16,45.68,413530,IDXX
2013-03-20,45.74,46.21,45.69,45.78,270862,IDXX
2013-03-21,45.6,46.01,45.36,45.8,440982,IDXX
2013-03-22,45.86,46.22,45.86,46.04,589030,IDXX
2013-03-25,46.2,46.21,45.47,45.63,386468,IDXX
2013-03-26,45.88,46.17,45.7,46.14,230212,IDXX
2013-03-27,45.98,46.61,45.86,46.44,549294,IDXX
2013-03-28,46.44,46.5,45.88,46.2,452018,IDXX
2013-04-01,46.03,46.2,45.14,45.42,727350,IDXX
2013-04-02,45.47,45.9,45.38,45.5,339486,IDXX
2013-04-03,45.4,45.53,44.4,44.54,582766,IDXX
2013-04-04,44.68,44.82,43.94,44.82,888990,IDXX
2013-04-05,44.48,44.98,44.22,44.86,543412,IDXX
2013-04-08,44.86,45.28,44.7,45.2,368980,IDXX
2013-04-09,45.25,45.57,44.95,45.26,462926,IDXX
2013-04-10,45.56,45.56,45.02,45.44,667340,IDXX
2013-04-11,45.4,45.8,45.39,45.48,862690,IDXX
2013-04-12,45.35,45.47,43.95,44.32,1007232,IDXX
2013-04-15,44.1,44.52,43.8,43.86,627672,IDXX
2013-04-16,44.17,44.86,43.62,44.82,756320,IDXX
2013-04-17,44.54,44.64,44.07,44.48,990680,IDXX
2013-04-18,44.5,44.8,44.33,44.66,764210,IDXX
2013-04-19,44.75,45.32,44.51,45.28,613014,IDXX
2013-04-22,45.41,45.48,44.78,45.0,1069118,IDXX
2013-04-23,41.92,44.1,41.52,43.32,6354404,IDXX
2013-04-24,43.22,43.3,42.02,42.14,2763028,IDXX
2013-04-25,42.29,43.76,42.22,43.52,1782192,IDXX
2013-04-26,43.53,43.98,43.35,43.96,1006626,IDXX
2013-04-29,44.12,44.54,44.07,44.18,1481082,IDXX
2013-04-30,44.29,44.48,43.74,43.98,1522564,IDXX
2013-05-01,43.76,43.99,42.58,42.62,1502496,IDXX
2013-05-02,42.76,42.88,42.05,42.2,1177634,IDXX
2013-05-03,42.54,42.74,42.33,42.66,1099410,IDXX
2013-05-06,42.8,43.0,42.7,42.9,497346,IDXX
2013-05-07,43.0,43.16,42.79,42.95,575222,IDXX
2013-05-08,42.87,43.76,42.87,43.68,509906,IDXX
2013-05-09,43.5,43.75,43.27,43.41,567808,IDXX
2013-05-10,43.47,43.97,43.3,43.88,491356,IDXX
2013-05-13,43.86,44.04,43.48,43.5,402662,IDXX
2013-05-14,43.77,44.52,43.57,44.38,630036,IDXX
2013-05-15,44.25,44.48,43.6,43.76,924744,IDXX
2013-05-16,43.79,44.06,43.25,43.3,504824,IDXX
2013-05-17,43.47,43.47,43.02,43.2,686138,IDXX
2013-05-20,43.08,43.42,42.75,42.82,562632,IDXX
2013-05-21,42.82,43.08,42.66,42.78,676328,IDXX
2013-05-22,42.78,43.12,41.67,41.68,947960,IDXX
2013-05-23,41.54,42.48,41.2,42.24,1193422,IDXX
2013-05-24,42.12,42.14,41.74,41.9,503158,IDXX
2013-05-28,42.22,42.5,42.18,42.24,1211484,IDXX
2013-05-29,42.0,42.2,41.54,41.85,1003610,IDXX
2013-05-30,42.0,42.0,40.78,41.6,1266226,IDXX
2013-05-31,41.48,41.8,41.0,41.22,932684,IDXX
2013-06-03,41.2,41.7,41.11,41.46,875850,IDXX
2013-06-04,41.58,42.16,41.48,41.84,1044162,IDXX
2013-06-05,41.88,42.1,41.7,41.79,654672,IDXX
2013-06-06,41.86,42.36,41.81,42.02,959764,IDXX
2013-06-07,42.33,42.33,41.81,41.94,808710,IDXX
2013-06-10,42.06,42.44,41.75,41.99,744852,IDXX
2013-06-11,42.88,42.89,41.74,42.53,1268096,IDXX
2013-06-12,42.82,43.04,42.39,42.96,1013780,IDXX
2013-06-13,43.02,44.82,42.76,44.68,1377986,IDXX
2013-06-14,44.75,44.87,44.54,44.64,1039164,IDXX
2013-06-17,45.04,46.3,45.04,45.44,2211610,IDXX
2013-06-18,45.46,45.94,45.06,45.24,1049898,IDXX
2013-06-19,45.31,45.48,44.51,44.52,1424336,IDXX
2013-06-20,44.12,44.44,43.9,44.09,1097840,IDXX
2013-06-21,44.38,45.52,44.12,44.95,1555958,IDXX
2013-06-24,44.5,45.16,44.2,44.74,848592,IDXX
2013-06-25,44.97,45.29,44.4,45.13,547642,IDXX
2013-06-26,45.54,45.62,45.22,45.36,734592,IDXX
2013-06-27,45.46,45.97,45.36,45.36,411816,IDXX
2013-06-28,45.36,45.63,44.82,44.84,1121954,IDXX
2013-07-01,45.22,46.1,44.76,45.36,844034,IDXX
2013-07-02,45.42,45.79,44.82,44.92,669356,IDXX
2013-07-03,44.95,44.95,44.0,44.36,933906,IDXX
2013-07-05,44.74,45.69,44.5,45.53,988104,IDXX
2013-07-08,45.52,45.86,45.16,45.55,721740,IDXX
2013-07-09,45.8,46.42,45.6,46.27,892042,IDXX
2013-07-10,46.13,46.27,45.48,45.74,959156,IDXX
2013-07-11,46.33,46.71,45.86,46.63,905352,IDXX
2013-07-12,46.63,47.0,46.34,46.94,500006,IDXX
2013-07-15,47.8,48.48,47.8,48.04,1284154,IDXX
2013-07-16,48.2,48.21,47.7,47.78,455732,IDXX
2013-07-17,48.0,48.1,47.62,48.02,530608,IDXX
2013-07-18,47.98,48.24,47.72,47.8,485716,IDXX
2013-07-19,47.69,48.25,47.6,48.01,490310,IDXX
2013-07-22,47.9,48.9,47.8,48.71,1440982,IDXX
2013-07-23,48.0,48.52,45.52,48.18,3181648,IDXX
2013-07-24,48.5,49.35,48.26,48.4,988242,IDXX
2013-07-25,48.22,49.01,48.22,48.68,595242,IDXX
2013-07-26,48.64,48.7,48.02,48.3,480300,IDXX
2013-07-29,48.01,48.91,48.01,48.86,454320,IDXX
2013-07-30,48.88,49.31,48.66,48.92,589590,IDXX
2013-07-31,49.06,49.45,48.81,49.0,637414,IDXX
2013-08-01,49.14,50.18,49.14,49.6,945810,IDXX
2013-08-02,49.44,49.8,49.2,49.46,451806,IDXX
2013-08-05,49.34,49.68,49.04,49.32,362152,IDXX
2013-08-06,49.21,49.43,48.59,48.74,696316,IDXX
2013-08-07,48.61,48.83,48.36,48.38,424982,IDXX
2013-08-08,48.5,48.68,48.4,48.5,542956,IDXX
2013-08-09,48.51,48.66,48.27,48.42,533758,IDXX
2013-08-12,48.28,48.58,48.16,48.52,456072,IDXX
2013-08-13,48.5,48.57,48.09,48.5,510036,IDXX
2013-08-14,48.56,48.6,48.14,48.26,389134,IDXX
2013-08-15,47.88,48.08,47.43,47.83,402210,IDXX
2013-08-16,47.71,48.01,47.52,47.88,324288,IDXX
2013-08-19,47.74,48.22,47.74,48.0,266420,IDXX
2013-08-20,48.06,48.46,47.77,48.26,406550,IDXX
2013-08-21,48.03,48.36,47.9,47.94,385798,IDXX
2013-08-22,48.16,48.98,48.04,48.57,195480,IDXX
2013-08-23,48.76,48.86,48.28,48.64,320230,IDXX
2013-08-26,48.6,49.18,48.6,48.82,253000,IDXX
2013-08-27,48.41,48.45,47.48,47.77,423932,IDXX
2013-08-28,47.67,48.13,47.34,47.64,264930,IDXX
2013-08-29,47.65,47.9,47.25,47.58,315416,IDXX
2013-08-30,47.42,47.74,46.85,46.91,414046,IDXX
2013-09-03,47.13,47.45,46.04,46.6,910008,IDXX
2013-09-04,46.54,47.8,46.42,47.67,644092,IDXX
2013-09-05,47.0,47.86,47.0,47.62,328876,IDXX
2013-09-06,47.81,48.12,47.24,47.7,338272,IDXX
2013-09-09,47.88,48.32,47.68,48.2,402244,IDXX
2013-09-10,48.3,48.64,48.24,48.6,447128,IDXX
2013-09-11,48.4,48.66,48.16,48.62,325422,IDXX
2013-09-12,48.6,49.0,48.1,48.18,258472,IDXX
2013-09-13,48.18,48.58,47.92,48.37,451178,IDXX
2013-09-16,48.54,48.78,48.3,48.52,322400,IDXX
2013-09-17,48.6,49.17,48.32,49.04,279748,IDXX
2013-09-18,49.02,49.38,48.4,49.17,311988,IDXX
2013-09-19,49.28,49.46,48.82,49.04,232946,IDXX
2013-09-20,49.13,49.48,48.8,49.23,970220,IDXX
2013-09-23,49.02,49.78,48.96,49.6,532860,IDXX
2013-09-24,49.71,49.72,48.97,49.0,549248,IDXX
2013-09-25,48.92,49.12,48.73,48.84,513294,IDXX
2013-09-26,48.97,49.2,48.82,49.13,256688,IDXX
2013-09-27,48.84,49.4,48.64,49.28,341114,IDXX
2013-09-30,48.98,50.18,48.4,49.82,997400,IDXX
2013-10-01,49.84,51.4,49.57,51.37,1366132,IDXX
2013-10-02,50.9,51.75,50.54,51.39,929270,IDXX
2013-10-03,51.14,51.38,50.22,50.63,545710,IDXX
2013-10-04,50.54,51.36,50.54,51.0,334370,IDXX
2013-10-07,50.61,51.14,50.45,50.8,334086,IDXX
2013-10-08,50.9,51.11,50.48,50.6,545624,IDXX
2013-10-09,50.9,51.16,50.6,50.68,624058,IDXX
2013-10-10,51.16,51.6,51.02,51.58,539678,IDXX
2013-10-11,51.59,52.09,51.3,52.08,368472,IDXX
2013-10-14,51.86,53.14,51.73,53.09,476314,IDXX
2013-10-15,52.84,53.44,52.46,52.59,589746,IDXX
2013-10-16,52.78,53.32,52.57,52.9,491216,IDXX
2013-10-17,52.62,53.18,52.62,53.12,465240,IDXX
2013-10-18,53.18,53.4,52.84,53.24,521428,IDXX
2013-10-21,53.16,53.32,52.84,52.98,1185606,IDXX
2013-10-22,52.92,53.4,51.04,51.62,1463446,IDXX
2013-10-23,51.18,52.7,51.18,52.47,727972,IDXX
2013-10-24,52.36,52.62,51.92,51.98,583472,IDXX
2013-10-25,51.95,52.46,51.74,52.3,429118,IDXX
2013-10-28,52.18,53.7,52.03,53.7,841242,IDXX
2013-10-29,53.77,54.38,53.46,54.15,964368,IDXX
2013-10-30,54.08,54.39,53.72,53.92,364048,IDXX
2013-10-31,53.82,54.34,53.46,53.93,530838,IDXX
2013-11-01,54.0,54.3,53.46,54.1,457778,IDXX
2013-11-04,56.56,56.56,53.72,54.42,471840,IDXX
2013-11-05,54.06,54.51,53.6,54.34,499892,IDXX
2013-11-06,54.68,54.68,53.81,54.32,233034,IDXX
2013-11-07,54.64,54.91,54.2,54.28,557658,IDXX
2013-11-08,54.4,54.86,54.03,54.8,311518,IDXX
2013-11-11,54.52,54.52,54.1,54.24,315740,IDXX
2013-11-12,54.0,54.06,53.28,53.35,843116,IDXX
2013-11-13,53.32,53.32,52.58,52.96,1670586,IDXX
2013-11-14,53.13,53.82,53.0,53.22,881248,IDXX
2013-11-15,53.46,54.26,53.3,53.5,1209664,IDXX
2013-11-18,53.7,53.86,52.88,53.04,497686,IDXX
2013-11-19,53.02,53.76,52.78,53.54,281990,IDXX
2013-11-20,53.48,54.09,53.32,53.68,503934,IDXX
2013-11-21,53.9,54.41,53.5,53.76,450680,IDXX
2013-11-22,53.92,54.21,52.74,52.74,902536,IDXX
2013-11-25,53.01,53.3,52.45,52.7,589702,IDXX
2013-11-26,52.66,52.8,52.1,52.26,747748,IDXX
2013-11-27,52.49,52.54,52.02,52.24,557560,IDXX
2013-11-29,52.42,52.61,51.89,52.08,416116,IDXX
2013-12-02,51.98,52.74,51.55,52.51,1466564,IDXX
2013-12-03,52.28,52.66,52.2,52.48,334114,IDXX
2013-12-04,52.16,52.61,51.72,52.19,324662,IDXX
2013-12-05,52.14,52.44,51.63,52.0,306302,IDXX
2013-12-06,52.34,52.71,51.88,52.0,478416,IDXX
2013-12-09,51.66,52.82,51.51,52.06,562546,IDXX
2013-12-10,51.94,52.25,51.51,51.75,709558,IDXX
2013-12-11,51.88,51.97,50.98,51.08,763274,IDXX
2013-12-12,51.16,51.62,50.66,50.8,938130,IDXX
2013-12-13,50.7,51.38,50.7,51.14,752014,IDXX
2013-12-16,51.46,52.4,51.34,51.72,2050878,IDXX
2013-12-17,51.82,52.34,51.53,52.17,2697938,IDXX
2013-12-18,52.37,52.66,51.77,52.0,1183742,IDXX
2013-12-19,51.86,52.38,51.35,51.9,1546498,IDXX
2013-12-20,51.91,53.07,51.91,52.6,2206846,IDXX
2013-12-23,52.88,52.88,52.14,52.67,423296,IDXX
2013-12-24,52.6,53.22,52.1,53.0,174760,IDXX
2013-12-26,53.08,53.26,52.83,52.86,411676,IDXX
2013-12-27,53.01,53.53,52.86,53.38,410998,IDXX
2013-12-30,53.28,53.48,52.8,53.34,378476,IDXX
2013-12-31,53.59,53.59,52.78,53.18,739782,IDXX
2014-01-02,53.0,53.74,52.32,52.52,855188,IDXX
2014-01-03,52.8,53.28,52.53,53.14,583722,IDXX
2014-01-06,53.3,53.46,52.5,52.66,695634,IDXX
2014-01-07,52.84,53.95,52.52,53.93,504332,IDXX
2014-01-08,53.98,54.45,53.58,54.16,500818,IDXX
2014-01-09,54.18,54.54,53.74,54.49,329404,IDXX
2014-01-10,54.5,55.0,54.12,54.52,464800,IDXX
2014-01-13,54.26,54.75,53.88,54.19,408568,IDXX
2014-01-14,54.44,55.29,54.0,55.0,467986,IDXX
2014-01-15,55.0,56.28,55.0,56.06,819646,IDXX
2014-01-16,56.0,56.38,55.68,56.26,577848,IDXX
2014-01-17,56.11,56.86,55.97,56.79,649872,IDXX
2014-01-21,56.92,57.5,56.67,57.09,842488,IDXX
2014-01-22,57.17,57.49,56.81,57.29,544228,IDXX
2014-01-23,56.98,57.46,56.8,57.3,528460,IDXX
2014-01-24,57.18,57.18,55.85,56.64,609780,IDXX
2014-01-27,56.72,57.34,56.22,56.46,551840,IDXX
2014-01-28,56.62,56.8,56.38,56.56,684768,IDXX
2014-01-29,56.04,56.94,56.04,56.72,428752,IDXX
2014-01-30,56.16,57.08,55.66,56.88,877486,IDXX
2014-01-31,56.14,57.2,55.48,57.13,1340230,IDXX
2014-02-03,56.84,56.84,54.29,54.54,1568680,IDXX
2014-02-04,57.5,58.44,55.42,57.55,1704600,IDXX
2014-02-05,57.25,58.24,56.52,58.12,1014664,IDXX
2014-02-06,58.4,58.9,57.7,58.52,860768,IDXX
2014-02-07,58.9,59.56,58.42,59.44,664566,IDXX
2014-02-10,59.56,60.49,59.38,60.44,968398,IDXX
2014-02-11,60.38,61.54,59.92,61.14,684156,IDXX
2014-02-12,61.02,61.93,60.31,61.34,599238,IDXX
2014-02-13,60.9,62.11,59.54,62.04,410518,IDXX
2014-02-14,61.74,62.15,61.26,62.0,620530,IDXX
2014-02-18,62.0,62.85,61.72,62.8,630886,IDXX
2014-02-19,62.03,62.9,62.03,62.54,359942,IDXX
2014-02-20,62.61,63.42,62.11,63.16,522816,IDXX
2014-02-21,63.11,63.21,62.19,62.32,613008,IDXX
2014-02-24,62.66,63.09,62.32,62.72,390278,IDXX
2014-02-25,62.86,63.18,62.54,62.77,517130,IDXX
2014-02-26,63.0,63.36,62.82,63.06,384276,IDXX
2014-02-27,63.1,63.42,62.46,63.18,488946,IDXX
2014-02-28,63.06,63.5,62.54,62.95,531270,IDXX
2014-03-03,62.34,62.78,62.04,62.29,529666,IDXX
2014-03-04,63.02,63.41,62.66,63.04,656006,IDXX
2014-03-05,63.22,63.38,62.62,63.0,399270,IDXX
2014-03-06,63.19,63.72,62.89,63.34,703534,IDXX
2014-03-07,63.53,63.69,63.0,63.36,420078,IDXX
2014-03-10,63.08,64.12,63.08,63.78,491040,IDXX
2014-03-11,64.01,64.64,63.72,63.8,406664,IDXX
2014-03-12,63.4,64.24,63.11,64.13,497024,IDXX
2014-03-13,64.28,64.28,63.02,63.04,435120,IDXX
2014-03-14,62.8,64.02,62.8,63.96,576842,IDXX
2014-03-17,64.0,64.58,61.82,61.84,1254942,IDXX
2014-03-18,62.04,62.81,61.57,62.47,559798,IDXX
2014-03-19,62.36,62.36,61.48,61.87,622912,IDXX
2014-03-20,61.94,62.08,61.44,61.77,526222,IDXX
2014-03-21,62.0,62.41,60.74,60.88,1084542,IDXX
2014-03-24,61.16,61.19,60.02,60.86,830380,IDXX
2014-03-25,60.98,61.72,60.82,61.09,610786,IDXX
2014-03-26,61.49,61.55,60.75,60.78,404086,IDXX
2014-03-27,60.84,61.26,60.1,60.78,423904,IDXX
2014-03-28,61.04,61.36,60.48,60.8,290658,IDXX
2014-03-31,60.97,61.18,60.64,60.7,1048276,IDXX
2014-04-01,61.0,61.0,60.4,60.82,878600,IDXX
2014-04-02,61.0,61.18,60.6,61.16,684710,IDXX
2014-04-03,61.24,62.32,60.66,62.1,1702950,IDXX
2014-04-04,62.5,62.6,60.89,60.98,459260,IDXX
2014-04-07,60.72,61.36,59.79,60.01,818270,IDXX
2014-04-08,60.1,60.6,59.46,60.48,656142,IDXX
2014-04-09,60.74,61.32,60.34,61.27,481332,IDXX
2014-04-10,61.26,61.92,59.59,59.82,347918,IDXX
2014-04-11,59.42,60.08,58.69,58.75,402442,IDXX
2014-04-14,59.44,59.77,58.06,59.2,467980,IDXX
2014-04-15,59.32,59.63,57.92,59.07,341094,IDXX
2014-04-16,59.36,59.76,58.94,59.12,439840,IDXX
2014-04-17,59.21,59.86,58.93,58.97,303400,IDXX
2014-04-21,59.15,59.58,59.02,59.16,565208,IDXX
2014-04-22,59.18,59.74,58.58,59.38,498500,IDXX
2014-04-23,59.38,59.95,58.86,59.94,406304,IDXX
2014-04-24,60.28,60.58,59.31,60.32,624776,IDXX
2014-04-25,61.1,62.67,60.0,61.88,932070,IDXX
2014-04-28,62.18,62.73,61.12,62.04,428700,IDXX
2014-04-29,62.1,63.36,62.1,63.26,802898,IDXX
2014-04-30,63.02,63.42,62.88,63.22,575032,IDXX
2014-05-01,63.22,64.1,62.84,63.86,605884,IDXX
2014-05-02,63.8,64.42,63.55,64.19,507288,IDXX
2014-05-05,64.4,64.99,63.52,64.94,702944,IDXX
2014-05-06,64.7,65.08,64.14,64.96,697132,IDXX
2014-05-07,65.11,65.5,63.85,64.69,966546,IDXX
2014-05-08,64.8,65.96,64.48,65.42,673358,IDXX
2014-05-09,65.28,65.72,64.83,65.65,523756,IDXX
2014-05-12,66.1,66.7,65.97,66.23,402388,IDXX
2014-05-13,66.16,66.16,64.19,64.44,846182,IDXX
2014-05-14,64.2,64.4,63.8,63.99,674760,IDXX
2014-05-15,63.88,64.47,63.02,63.4,495118,IDXX
2014-05-16,63.5,63.73,63.06,63.54,514256,IDXX
2014-05-19,63.36,64.28,62.98,63.86,475820,IDXX
2014-05-20,63.72,64.24,63.1,63.78,358830,IDXX
2014-05-21,63.88,64.27,63.38,63.82,369644,IDXX
2014-05-22,63.82,64.54,63.78,64.12,279030,IDXX
2014-05-23,64.11,64.49,63.75,64.3,396194,IDXX
2014-05-27,64.34,65.04,64.19,64.6,322974,IDXX
